soil_species,seed_species,inoculated_%,pot,notes,296_alive,296_dead,300_alive,300_dead,303_alive,303_dead,307_alive,307_dead,310_alive,310_dead,314_alive,314_dead,317_alive,317_dead,321_alive,321_dead,324_alive,324_dead,328_alive,328_dead,331_alive,331_dead,335_alive,335_dead,338_alive,338_dead
TSHE,TSHE,10,1,,,,,,,,3,,4,,5,,6,,5,1,4,1,3,1,3,1,3,1,3,1
TSHE,TSHE,0,1,,,,,,,,1,,2,,4,,6,,7,,8,,8,,8,,9,,9,
TSHE,PSME,10,1,,,,,,,,4,,6,,7,,7,,6,1,6,1,6,1,6,1,6,1,6,1
TSHE,PSME,0,1,,,,,,1,,6,,7,,7,,7,,7,,8,,8,,8,,8,,8,
PSME,TSHE,10,1,,,,,,,,,,0,,0,,0,,3,,3,,3,,5,,6,,6,
PSME,TSHE,0,1,,,,,,,,,,,,0,,2,,4,1,5,1,5,1,5,1,6,1,6,1
PSME,PSME,10,1,,,,,,3,,5,,5,,5,,6,,6,,6,1,6,1,6,1,6,1,6,1
PSME,PSME,0,1,doy296: mold on soil,,,,,1,,1,,4,,4,,6,,8,,8,,8,,8,,8,,8,
THPL,TSHE,10,1," doy 296 germinant invalid, herbaceous species",1,,,,,,,,0,,0,,0,,0,,3,,7,,6,1,7,1,7,1
THPL,TSHE,0,1,doy296: mold on soil,,,,,,,,,0,,0,,2,1,3,1,2,2,3,2,3,2,6,1,6,1
THPL,PSME,10,1,,,,,,1,,2,,5,,5,,6,,5,,5,,5,,5,,5,,5,
THPL,PSME,0,1,"doy296: mold on soil; doy303: no obvious signs of mold on soil; doy328: previously dead germinant is still quite green, so marking as alive this week",,,,,2,,3,1,4,1,4,1,5,1,6,1,6,1,7,,7,,7,,7,
TSHE,TSHE,10,2,,,,,,,,2,,3,,3,,6,,8,,8,,8,,8,,8,,8,
TSHE,TSHE,0,2,,,,,,,,0,,2,,2,,5,,6,1,6,1,7,1,7,1,7,1,8,
TSHE,PSME,10,2,,,,,,1,,3,,6,,7,,7,,8,,8,,8,,8,,8,,7,1
TSHE,PSME,0,2,,,,,,,,2,,,,6,,7,,8,,8,,8,,8,,8,,8,
PSME,TSHE,10,2,,,,,,,,,,,,4,,4,,4,,4,,3,2,3,2,4,2,4,2
PSME,TSHE,0,2,,,,,,,,,,,,0,,1,,7,,10,,12,,12,,13,,13,
PSME,PSME,10,2,,,,,,,,3,,3,,5,,5,,5,,5,,5,,5,,5,,5,
PSME,PSME,0,2,doy296: mold on soil,,,,,2,,3,,,,5,,6,,7,,7,,7,,7,,7,,7,
THPL,TSHE,10,2,,,,,,1,,,,,,4,,5,,6,,7,,7,,7,,7,,8,
THPL,TSHE,0,2,doy296: mold on soil,,,,,,,1,,,,2,,4,,6,,6,,7,,7,,9,,9,
THPL,PSME,10,2,,,,,,1,,5,,,,7,,7,,7,,8,,8,,8,,8,,8,
THPL,PSME,0,2,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,3,,7,,6,2,6,2,6,2,6,2,7,2,7,2,8,1,8,1,8,1,8,1
TSHE,TSHE,10,3,,,,,,,,4,,5,,5,,5,,4,,4,,4,,4,,4,,4,
TSHE,TSHE,0,3,,,,,,,,0,,2,,5,,5,,6,1,6,1,8,1,8,1,8,1,8,1
TSHE,PSME,10,3,,,,,,,,1,,2,,3,,4,,4,,4,,4,,4,,4,,4,
TSHE,PSME,0,3,doy296: mold on soil,,,,,1,,5,,6,,7,,7,,7,,7,,7,,7,,7,,7,
PSME,TSHE,10,3,,,,,,,,,,1,,5,,5,,4,1,4,1,4,1,4,1,4,1,4,1
PSME,TSHE,0,3,,,,,,,,,,,,0,,3,,5,,6,,8,,9,,9,,9,
PSME,PSME,10,3,,,,,,1,,6,,7,,7,,7,,9,,9,,9,,9,,9,,9,
PSME,PSME,0,3,doy296: mold on soil; doy321: mold on some germinants,,,1,,2,,4,,4,,5,,6,,7,,7,,5,2,5,2,5,2,5,2
THPL,TSHE,10,3,,,,,,,,,,2,,4,,5,,5,,7,,7,,7,,7,,7,
THPL,TSHE,0,3,doy296: mold on soil,,,,,,,,,1,,4,,6,,7,2,7,2,8,1,8,1,8,1,8,
THPL,PSME,10,3,,,,,,,,3,,3,,6,,6,,6,,6,,6,,6,,6,,6,
THPL,PSME,0,3,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,,,3,,2,1,2,1,3,1,4,,3,1,3,1,3,1,3,1,3,1,3,1
TSHE,TSHE,10,4,,,,,,,,0,,1,,2,,3,,4,,3,1,4,1,4,1,4,1,4,1
TSHE,TSHE,0,4,,,,,,,,1,,1,,0,1,1,1,2,2,3,2,4,2,4,2,5,2,5,2
TSHE,PSME,10,4,,,,,,,,3,,4,,6,,6,,6,,6,,6,,6,,6,,6,
TSHE,PSME,0,4,doy296: mold on soil,,,1,,3,,5,,5,,5,,6,,6,,6,,6,,6,,6,,6,
PSME,TSHE,10,4,,,,,,,,,,1,,2,,3,,5,,4,1,7,1,7,1,7,1,7,1
PSME,TSHE,0,4,,,,,,,,,,,,0,,0,,1,,1,,2,,3,,4,,5,
PSME,PSME,10,4,"doy307: one germinant looking unhealthy, one dead",,,2,,6,,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1
PSME,PSME,0,4,doy296: mold on soil,,,,,2,,5,,5,,5,,7,,6,,6,,6,,6,,6,,6,
THPL,TSHE,10,4,,,,,,,,,,1,,5,,5,,7,,7,,7,,7,,7,,8,
THPL,TSHE,0,4,doy296: less mold on soil,,,,,,,1,,3,,3,,4,1,4,2,4,2,8,2,8,2,8,2,8,2
THPL,PSME,10,4,,,,,,,,2,,4,,5,,6,,6,,6,,7,,7,,8,,8,
