soil_species,seed_species,inoculated_%,pot,notes,296_alive,296_dead,300_alive,300_dead,303_alive,303_dead,307_alive,307_dead,310_alive,310_dead,314_alive,314_dead,317_alive,317_dead,321_alive,321_dead,324_alive,324_dead,328_alive,328_dead,331_alive,331_dead,335_alive,335_dead,338_alive,338_dead
THPL,PSME,0,4,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,1,,5,,3,1,5,1,5,1,5,1,5,2,5,2,5,2,5,2,7,1,7,1
TSHE,TSHE,10,5,,,,,,,,0,,1,,2,,3,,4,,4,,5,,4,1,4,1,4,1
TSHE,TSHE,0,5,,,,,,,,3,,4,,4,,4,,6,,6,,6,,6,,6,,6,
TSHE,PSME,10,5,,,,,,,,1,,3,,3,,3,,3,,3,,3,,3,,3,,2,1
TSHE,PSME,0,5,,,,,,1,,2,,3,,3,,3,,3,,3,,4,,4,,4,,4,
PSME,TSHE,10,5,,,,,,,,,,2,,2,,3,,5,,6,,6,,6,,6,,6,
PSME,TSHE,0,5,,,,,,,,,,,,0,,1,,8,,9,,10,,10,,10,,10,
PSME,PSME,10,5,,,,,,,,1,,3,,4,,4,,4,,4,,4,,5,,5,,5,
PSME,PSME,0,5,doy296: mold on soil,,,,,1,,3,,4,,5,,5,,5,,6,,6,,6,,6,,6,
THPL,TSHE,10,5,,,,,,,,,,0,,0,,0,,1,,3,,6,,6,,7,,7,
THPL,TSHE,0,5,doy296: less mold on soil,,,,,,,,,1,,1,,4,,7,,7,,8,,8,,8,,8,
THPL,PSME,10,5,,,,,,,,4,,6,,7,,7,,7,,7,,7,,7,,7,,7,
THPL,PSME,0,5,"doy296: mold on soil; doy303: no obvious signs of mold on soil; doy321: previous count invalid, germinants not dead; doy335: previously thought dead germinant seems to be alive, just sideways",,,,,2,,1,2,3,2,3,2,3,2,4,1,4,1,4,1,4,1,5,0,5,
TSHE,TSHE,10,6,doy335: one of germinants on 331 was not focal species,,,,,,,1,,4,,4,,4,,6,,6,,7,,8,,7,,6,1
TSHE,TSHE,0,6,,,,,,,,1,,4,,4,1,7,,8,,8,,8,,8,,8,,8,
TSHE,PSME,10,6,,,,,,,,3,,5,,5,,5,,6,,6,,6,,6,,6,,6,
TSHE,PSME,0,6,,,,,,,,1,,3,,4,,4,,4,,4,,4,,4,,4,,4,
PSME,TSHE,10,6,,,,,,,,,,0,,3,,6,,8,1,8,1,8,1,8,1,9,1,9,1
PSME,TSHE,0,6,,,,,,,,,,,,1,,1,,6,,7,,9,,9,,11,,11,
PSME,PSME,10,6,,,,,,,,1,,3,,4,,5,,8,,8,,8,,8,,8,,8,
PSME,PSME,0,6,doy296: mold on soil,,,1,,5,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,
THPL,TSHE,10,6,,,,,,,,,,4,,8,,9,,10,,10,,10,,10,,10,,10,
THPL,TSHE,0,6,"doy296: mold on soil; doy328: could not find dead germinants, but they were assumed",,,,,,,,,2,,4,,4,,7,1,6,2,6,,6,,6,,6,
THPL,PSME,10,6,,,,,,,,3,,5,,5,,6,,6,,6,,7,,7,,7,,7,
THPL,PSME,0,6,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,3,,5,,6,,6,,7,,7,,8,,8,,8,,8,,8,,9,
TSHE,TSHE,10,7,,,,,,,,1,,4,,5,,6,,7,,7,,7,,7,,7,,7,
TSHE,TSHE,0,7,,,,,,,,1,,2,,2,,4,1,4,1,6,1,6,1,6,1,6,1,7,1
TSHE,PSME,10,7,,,,,,2,,4,,5,,5,,5,,5,,5,,6,,6,,6,,6,
TSHE,PSME,0,7,doy296: mold on soil,,,,,,,2,,4,,5,,5,,5,,5,,5,,5,,5,,5,
PSME,TSHE,10,7,,,,,,,,1,,3,,4,,6,,7,1,8,1,8,1,8,1,8,1,8,1
PSME,TSHE,0,7,,,,,,,,,,,,0,,2,,8,,9,,10,,10,,10,,10,
PSME,PSME,10,7,doy307: one germinant looking unhealthy,,,,,4,,4,,5,,5,,6,,6,,6,,6,,6,,6,,6,
PSME,PSME,0,7,doy296: mold on soil; doy317: one germinant had mold on seed part,,,,,2,,5,,6,,7,,7,,7,,6,1,6,1,6,1,7,1,7,1
THPL,TSHE,10,7,"doy328: could not find dead germinant, but assumed its there since all 5 look healthy",,,,,,,,,2,,5,,8,,4,4,5,4,5,4,5,4,5,4,5,4
THPL,TSHE,0,7,doy296: mold on soil,,,,,,,,,2,,3,,5,,5,1,7,1,7,1,7,1,7,1,7,1
THPL,PSME,10,7,,,,,,,,3,,3,,6,,6,,6,,6,,5,1,5,1,5,1,5,1
THPL,PSME,0,7,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,2,,6,,7,,8,,8,,8,,8,,8,,8,,8,,8,,8,
TSHE,TSHE,10,8,doy321: germinant covered in mold,,,,,,,2,,3,,3,,4,,6,1,6,1,5,2,5,2,5,2,5,2
TSHE,TSHE,0,8,,,,,,,,0,,1,,3,,3,,4,,4,,5,,5,,7,,7,1
TSHE,PSME,10,8,,,,,,1,,4,,4,,5,,5,,5,,5,,5,,5,,5,,5,
TSHE,PSME,0,8,,,,,,4,,5,,6,,6,,6,,6,,6,,6,,6,,6,,6,
PSME,TSHE,10,8,,,,,,,,1,,2,,4,,6,,6,,6,1,6,1,6,1,6,1,6,1
PSME,TSHE,0,8,,,,,,,,,,,,0,,1,,2,,4,,4,,4,,5,,6,
PSME,PSME,10,8,,,,,,6,,7,,8,,8,,8,,9,,9,,9,,9,,9,,9,
PSME,PSME,0,8,doy296: mold on soil,,,,,2,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,
THPL,TSHE,10,8,,,,,,,,,,2,,5,,7,,7,,7,,7,,8,,8,,8,
THPL,TSHE,0,8,doy296: mold on soil,,,,,,,,,1,,4,,5,,8,,6,2,6,2,8,,8,,8,
THPL,PSME,10,8,doy307: herbaceous germinant found,,,,,,,4,,6,,7,,7,,7,,7,,7,,7,,7,,7,
THPL,PSME,0,8,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,,,1,,1,,3,,4,,3,,4,1,4,1,4,1,5,,5,,5,
TSHE,TSHE,10,9,,,,,,,,,,0,,0,,2,,2,,2,,2,,2,,2,,2,
TSHE,TSHE,0,9,,,,,,,,1,,1,,4,,6,,7,,8,,8,,8,,8,,8,
TSHE,PSME,10,9,,,,,,,,1,,1,,3,,3,,3,,3,,3,,3,,3,,3,
TSHE,PSME,0,9,,,,,,1,,3,,5,,6,,6,,6,,6,,7,,7,,7,,7,
PSME,TSHE,10,9,,,,,,,,,,,,1,,4,,5,,6,,5,1,5,1,4,2,4,2
PSME,TSHE,0,9,,,,,,,,,,,,2,,2,,5,,6,,7,,8,,8,,8,
PSME,PSME,10,9,,,,,,,,0,,0,,2,,3,,4,,5,,5,,5,,5,,5,
PSME,PSME,0,9,doy296: mold on soil,,,,,0,,1,,3,,3,,5,,5,,5,,5,,4,1,4,1,4,1
THPL,TSHE,10,9,,,,,,,,,,,,1,,1,,5,,5,,4,1,4,1,4,1,4,1
THPL,TSHE,0,9,doy296: mold on soil,,,,,,,,,,,3,,7,,8,,8,,8,,8,,8,,8,
THPL,PSME,10,9,,,,,,,,5,,7,,8,,8,,8,,9,,9,,9,,9,,9,
THPL,PSME,0,9,"doy296: mold on soil; doy303: no obvious signs of mold on soil; doy310: germinant not dead but unhealthy; doy328: dead germinant appears to still be alive, very green",,,,,4,,4,1,6,,7,,6,1,6,1,6,1,7,,7,,7,,7,
TSHE,TSHE,10,10,"doy300: doy 296 germinant invalid, herbaceous species",1,,,,,,,,2,,4,,4,,5,,5,,5,,6,,6,,6,
TSHE,TSHE,0,10,,,,,,,,0,,1,,4,,6,,6,,6,,6,,6,,8,,8,
TSHE,PSME,10,10,,,,,,,,2,,5,,5,,5,,6,,4,2,4,2,4,2,4,2,4,2
TSHE,PSME,0,10,,,,,,0,,1,,4,,6,,6,,7,,7,,7,,7,,8,,8,
PSME,TSHE,10,10,"doy328: could not find dead germinant, but assumed its there since all 3 look healthy",,,,,,,,,2,,1,,3,,3,1,3,1,3,1,3,1,3,1,3,1
PSME,TSHE,0,10,,,,,,,,,,,,1,,4,,6,,6,,6,,6,,7,,7,
PSME,PSME,10,10,,,,,,,,0,,5,,4,,4,,4,,4,,4,,4,,4,,4,
PSME,PSME,0,10,,,,1,,2,,2,,3,,6,,6,,6,,6,,6,,6,,6,,6,
THPL,TSHE,10,10,,,,,,,,,,4,,1,,1,,4,,5,,7,,7,,7,,7,
THPL,TSHE,0,10,doy296: mold on soil,,,,,,,,,1,,2,,3,,7,,9,,10,,10,,10,,10,
THPL,PSME,10,10,,,,,,,,3,,6,,6,,6,,7,,7,,7,,7,,7,,7,
THPL,PSME,0,10,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,,,2,,4,,5,,5,,5,,5,,5,,5,,5,,5,,5,
TSHE,TSHE,10,11,,,,,,,,1,,1,,2,,2,,4,,5,,5,,6,,6,,6,
TSHE,TSHE,0,11,doy310: one germinant alive but uprooted,,,,,,,1,,3,,5,,5,1,8,1,8,1,8,1,8,1,8,1,8,1
TSHE,PSME,10,11,"doy317: some germinants showing browning on leaves; doy321: browning worse, one seed has green mold",,,,,,,2,,3,,5,,5,1,3,3,3,3,2,4,2,4,1,5,1,5
TSHE,PSME,0,11,,,,,,0,,2,,4,,5,,6,,6,,6,,6,,6,,6,,6,
PSME,TSHE,10,11,,,,,,,,,,,,0,,0,,1,,3,,3,,3,,2,1,2,1
PSME,TSHE,0,11,,,,,,,,,,,,3,,3,,3,,4,,6,,6,,6,,6,
PSME,PSME,10,11,,,,,,1,,5,,5,,5,1,4,,4,,4,,4,,4,,4,,4,
PSME,PSME,0,11,doy296: mold on soil,,,,,0,,4,,4,,5,,5,,5,,5,,5,,5,,5,,5,
THPL,TSHE,10,11,,,,,,,,,,,,2,,4,,6,,6,,7,,7,,7,,7,
THPL,TSHE,0,11,doy296: mold on soil,,,,,,,,,,,0,,0,,2,,2,,3,,4,,6,,6,
THPL,PSME,10,11,,,,,,,,3,,5,,5,,6,,6,,6,,6,,6,,6,,6,
THPL,PSME,0,11,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,1,,3,,6,,7,,9,,9,,9,,9,,9,,9,,9,,10,
TSHE,TSHE,10,12,,,,,,,,1,,2,,4,,5,,5,,5,,5,,6,,7,,7,
TSHE,TSHE,0,12,,,,,,,,1,,2,,2,,2,,3,,3,,4,,4,,4,,4,
TSHE,PSME,10,12,,,,,,1,,4,,5,,5,,5,,5,,5,,5,,5,,5,,5,
TSHE,PSME,0,12,,,,,,1,,4,,6,,7,,8,,8,,8,,8,,8,,8,,7,1
PSME,TSHE,10,12,,,,,,,,,,,,2,,2,,3,,5,,5,,5,,6,,6,
PSME,TSHE,0,12,,,,,,,,,,,,0,,3,,4,,6,,8,,8,,8,,8,
PSME,PSME,10,12,"doy307: one germinant looking unhealthy, long and not opened; doy310: long germinant still alive but uprooted",,,,,1,,4,,7,,6,1,6,1,6,1,6,1,6,1,6,1,7,1,7,
PSME,PSME,0,12,doy296: mold on soil,,,,,1,,4,,7,,7,,7,,5,2,5,2,5,2,5,2,5,2,5,2
THPL,TSHE,10,12,,,,,,,,,,,,2,,5,,9,,11,,9,,9,,9,,9,
THPL,TSHE,0,12,doy296: less mold on soil,,,,,,,,,,,0,,1,,3,,3,,3,,6,,7,,7,
THPL,PSME,10,12,,,,,,1,,4,,6,,7,,7,,7,,7,,7,,7,,7,,7,
THPL,PSME,0,12,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,2,,4,,7,,7,,9,,8,1,8,1,8,1,8,1,9,,9,,9,
TSHE,TSHE,10,13,,,,,,,,,,0,,1,,1,,2,,2,,3,,2,1,2,1,2,1
TSHE,TSHE,0,13,,,,,,,,0,,2,,4,,6,,8,,8,,8,,9,,9,,9,
TSHE,PSME,10,13,,,,,,,,0,,3,,3,,4,,4,,4,,4,,4,,4,,4,
TSHE,PSME,0,13,doy296: mold on soil,,,,,2,,4,,4,,5,,7,,7,,6,1,6,1,6,1,6,1,6,1
PSME,TSHE,10,13,,,,,,,,,,,,1,,5,,6,,6,,6,,7,,7,,7,
PSME,TSHE,0,13,,,,,,,,,,,,4,,7,,8,,9,,9,,9,,9,,9,
PSME,PSME,10,13,,,,,,,,3,,3,,4,,4,,4,,4,,4,,4,,4,,5,
PSME,PSME,0,13,doy296: mold on soil,,,,,0,,0,,1,,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2
THPL,TSHE,10,13,,,,,,,,,,,,0,,1,,6,,8,,8,,8,,9,,8,1
THPL,TSHE,0,13,doy296: mold on soil,,,,,,,,,2,,2,,5,,6,,6,,6,,6,,6,,6,
THPL,PSME,10,13,,,,,,,,3,,3,,4,,4,,4,,5,,5,,5,,5,,5,
THPL,PSME,0,13,doy296: mold on soil; doy303: no obvious signs of mold on soil,,,1,,5,,6,,6,,7,,7,,7,,7,,7,,7,,7,,7,
TSHE,TSHE,10,14,,,,,,,,,,1,,2,,4,,6,,4,,4,,4,,4,,4,
TSHE,TSHE,0,14,,,,,,,,0,,1,,4,,6,,7,,7,,9,,9,,9,,9,
TSHE,PSME,10,14,,,,,,,,2,,3,,5,,5,1,5,1,5,1,5,1,5,1,5,1,3,3
TSHE,PSME,0,14,,,,,,4,,5,,7,,7,,8,,8,,8,,8,,8,,8,,8,
PSME,TSHE,10,14,,,,,,,,,,,,1,,4,,5,,6,,6,,6,,6,,6,
PSME,TSHE,0,14,,,,,,,,,,,,5,,8,,8,,8,,9,,9,,9,,9,
PSME,PSME,10,14,,,,,,,,2,,3,,4,,4,,5,,5,,5,,5,,5,,5,
PSME,PSME,0,14,doy296: mold on soil,,,,,0,,2,,4,,4,,4,,5,,5,,5,,4,1,4,1,3,2
THPL,TSHE,10,14,,,,,,,,,,,,1,,2,,5,,5,,6,,6,,7,,7,
THPL,TSHE,0,14,doy296: mold on soil,,,,,,,,,1,,5,,6,,7,1,7,1,9,,9,,10,,10,
THPL,PSME,10,14,,,,,,,,2,,4,,6,,6,,6,,6,,6,,6,,6,,6,
THPL,PSME,0,14,,,,,,2,,6,,7,,7,,7,,7,,7,,7,,7,,7,,7,
TSHE,TSHE,10,15,,,,,,,,,,2,,4,,5,,5,,5,,7,,7,,6,1,6,1
TSHE,TSHE,0,15,,,,,,,,1,,1,,5,,7,,8,,8,,8,,8,,8,,8,
TSHE,PSME,10,15,,,,,,,,5,,5,,6,,6,,6,,6,,6,,6,,6,,6,
TSHE,PSME,0,15,,,,,,1,,1,,6,,7,,9,,9,,9,,9,,9,,9,,9,
PSME,TSHE,10,15,,,,,,,,,,,,2,,5,,8,,8,,8,,9,,9,,9,
PSME,TSHE,0,15,,,,,,,,,,,,2,,5,,7,,7,,7,,8,,8,,8,
PSME,PSME,10,15,,,,,,,,0,,3,,3,,3,,3,,3,,4,,4,,4,,4,
PSME,PSME,0,15,doy296: mold on soil,,,,,1,,4,,4,,4,,5,,5,,5,,5,,5,,5,,5,
THPL,TSHE,10,15,,,,,,,,,,,,3,,4,,8,,8,,9,,9,,9,,8,1
THPL,TSHE,0,15,doy296: mold on soil,,,,,,,,,1,,2,,4,,5,,5,,7,,7,,8,,8,
THPL,PSME,10,15,,,,,,,,2,,7,,7,,7,,7,,7,,7,,7,,7,,7,
THPL,PSME,0,15,,,,,,2,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,
TSHE,TSHE ,25,1,doy328: dead germinants very hard to see,,,,,,,,,0,,2,,2,,4,,6,,4,2,4,2,5,2,5,2
PSME,TSHE,25,1,,,,,,,,0,,0,,0,,3,,4,,5,,5,,5,,6,,6,
TSHE,PSME,25,1,,,,,,,,4,,4,,5,,5,,5,,5,,5,,5,,5,,5,
PSME,PSME,25,1,,,,,,,,1,,3,,4,,5,,6,,7,,7,,7,,7,,7,
THPL,TSHE,25,1,,,,,,,,,,1,,3,,5,,5,,7,,7,,7,,7,,7,
THPL,PSME,25,1,,,,,,,,3,,6,,6,,8,,9,,9,,10,,10,,10,,10,
TSHE,TSHE ,25,2,,,,,,,,,,0,,1,,3,,1,2,1,2,2,2,2,2,2,2,2,2
PSME,TSHE,25,2,,,,,,,,0,,1,,4,,5,,5,,5,,5,,5,,4,1,4,1
TSHE,PSME,25,2,,,,,,1,,5,,5,,5,,5,,5,,5,,5,,5,,5,,4,1
PSME,PSME,25,2,,,,,,,,1,,2,,2,,2,,2,,2,,2,,3,,3,,3,
THPL,TSHE,25,2,,,,,,,,,,0,,0,,3,,3,1,5,1,6,1,6,1,6,1,6,1
THPL,PSME,25,2,,,,,,1,,2,,5,,5,,5,,5,,5,,5,,5,,5,,5,
TSHE,TSHE ,25,3,,,,,,,,,,0,,1,,1,,3,,2,1,2,1,2,1,2,1,2,1
PSME,TSHE,25,3,,,,,,1,,3,,4,,6,,6,,7,,6,1,6,1,6,1,5,2,5,2
TSHE,PSME,25,3,,,,,,,,5,,5,,5,,5,,5,,6,,5,1,5,1,5,1,5,
PSME,PSME,25,3,,,,,,,,4,,4,,4,,5,,4,,4,,4,,5,,5,,5,
THPL,TSHE,25,3,,,,,,,,,,0,,2,,3,,4,,5,,6,,6,,6,,5,1
THPL,PSME,25,3,,,,,,1,,5,,5,,7,,7,,7,,7,,7,,7,,7,,7,
TSHE,TSHE ,25,4,,,,,,,,,,0,,0,,0,,1,,2,,2,,3,,3,1,3,1
PSME,TSHE,25,4,,,,,,,,0,,0,,2,,1,1,1,0,1,,1,,1,,0,1,0,1
TSHE,PSME,25,4,,,,,,,,2,,5,,5,,5,,4,,4,,4,,4,,4,,4,
PSME,PSME,25,4,,,,,,,,2,,3,,3,,3,,3,,3,,3,,3,,4,,4,
THPL,TSHE,25,4,,,,,,,,,,0,,1,,6,1,6,1,8,1,8,1,8,1,9,1,9,1
THPL,PSME,25,4,,,,,,,,1,,4,,4,,4,,4,,5,,5,,5,,5,,5,
TSHE,TSHE ,25,5,,,,,,,,,,1,,1,,3,,4,,4,,4,,4,,4,,4,
PSME,TSHE,25,5,,,,,,,,0,,1,,2,,2,,3,,3,,3,,2,1,2,1,2,1
TSHE,PSME,25,5,,,,,,,,1,,4,,4,,4,,5,,5,,5,,5,,5,,5,
PSME,PSME,25,5,,,,,,,,4,,5,,5,,5,,5,,4,1,4,1,4,1,4,1,4,1
THPL,TSHE,25,5,,,,,,,,,,0,,1,,2,,4,,4,,4,,5,,5,,5,
THPL,PSME,25,5,,,,,,,,1,,3,,4,,4,,5,,5,,5,,5,,5,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
